,feature,importance_gain,importance_split,trn_score,run
101,FLAG_DOCUMENT_9,134.08721113204956,12,0.6872066003807996,5
102,FLAG_DOCUMENT_10,0.0,0,0.6872066003807996,5
103,FLAG_DOCUMENT_11,45.69948959350586,6,0.6872066003807996,5
104,FLAG_DOCUMENT_12,0.0,0,0.6872066003807996,5
105,FLAG_DOCUMENT_13,26.36894989013672,3,0.6872066003807996,5
106,FLAG_DOCUMENT_14,23.92437982559204,3,0.6872066003807996,5
107,FLAG_DOCUMENT_15,95.93393993377686,9,0.6872066003807996,5
108,FLAG_DOCUMENT_16,87.65018939971924,8,0.6872066003807996,5
109,FLAG_DOCUMENT_17,0.0,0,0.6872066003807996,5
110,FLAG_DOCUMENT_18,112.06329154968262,12,0.6872066003807996,5
111,FLAG_DOCUMENT_19,6.819049835205078,1,0.6872066003807996,5
112,FLAG_DOCUMENT_20,20.187479972839355,2,0.6872066003807996,5
113,FLAG_DOCUMENT_21,0.0,0,0.6872066003807996,5
114,AMT_REQ_CREDIT_BUREAU_HOUR,168.4408616423607,16,0.6872066003807996,5
115,AMT_REQ_CREDIT_BUREAU_DAY,109.57939958572388,10,0.6872066003807996,5
116,AMT_REQ_CREDIT_BUREAU_WEEK,314.16927909851074,33,0.6872066003807996,5
117,AMT_REQ_CREDIT_BUREAU_MON,1178.162074625492,127,0.6872066003807996,5
118,AMT_REQ_CREDIT_BUREAU_QRT,852.6714411973953,100,0.6872066003807996,5
119,AMT_REQ_CREDIT_BUREAU_YEAR,3396.189888894558,337,0.6872066003807996,5
0,NAME_CONTRACT_TYPE,291.3666090965271,36,0.6980939144994778,6
1,CODE_GENDER,400.6507798433304,77,0.6980939144994778,6
2,FLAG_OWN_CAR,235.13982224464417,41,0.6980939144994778,6
3,FLAG_OWN_REALTY,554.0112242102623,64,0.6980939144994778,6
4,CNT_CHILDREN,780.490810662508,83,0.6980939144994778,6
5,AMT_INCOME_TOTAL,6052.834877640009,626,0.6980939144994778,6
6,AMT_CREDIT,6369.248650819063,684,0.6980939144994778,6
7,AMT_ANNUITY,7089.765682429075,704,0.6980939144994778,6
8,AMT_GOODS_PRICE,5149.1370549201965,492,0.6980939144994778,6
9,NAME_TYPE_SUITE,230.51115083694458,26,0.6980939144994778,6
10,NAME_INCOME_TYPE,188.9950098991394,19,0.6980939144994778,6
11,NAME_EDUCATION_TYPE,105.01208162307739,11,0.6980939144994778,6
12,NAME_FAMILY_STATUS,405.32656049728394,42,0.6980939144994778,6
13,NAME_HOUSING_TYPE,179.60225009918213,20,0.6980939144994778,6
14,REGION_POPULATION_RELATIVE,4815.226131081581,482,0.6980939144994778,6
15,DAYS_BIRTH,8794.348696529865,849,0.6980939144994778,6
16,DAYS_EMPLOYED,7680.220635056496,776,0.6980939144994778,6
17,DAYS_REGISTRATION,7470.886407583952,731,0.6980939144994778,6
18,DAYS_ID_PUBLISH,8682.346224308014,821,0.6980939144994778,6
19,OWN_CAR_AGE,3733.4805116653442,375,0.6980939144994778,6
20,FLAG_MOBIL,0.0,0,0.6980939144994778,6
21,FLAG_EMP_PHONE,3.924649953842163,1,0.6980939144994778,6
22,FLAG_WORK_PHONE,506.8965483903885,59,0.6980939144994778,6
23,FLAG_CONT_MOBILE,0.0,0,0.6980939144994778,6
24,FLAG_PHONE,483.58586168289185,47,0.6980939144994778,6
25,FLAG_EMAIL,224.8154013156891,25,0.6980939144994778,6
26,OCCUPATION_TYPE,5055.85305929184,463,0.6980939144994778,6
27,CNT_FAM_MEMBERS,1013.1335648298264,108,0.6980939144994778,6
